grain_num	clip_index	start	end	ms	wav
0	0	0	541	42	grain_000_clip000.wav
1	1	541	980	34	grain_001_clip001.wav
2	2	980	1316	26	grain_002_clip002.wav
3	3	1316	1860	42	grain_003_clip003.wav
4	4	1860	2311	35	grain_004_clip004.wav
5	5	2311	2634	25	grain_005_clip005.wav
6	6	2634	3178	42	grain_006_clip006.wav
7	7	3178	3632	35	grain_007_clip007.wav
8	8	3632	3953	25	grain_008_clip008.wav
9	9	3953	4490	41	grain_009_clip009.wav
10	10	4490	4925	33	grain_010_clip010.wav
11	11	4925	5277	27	grain_011_clip011.wav
12	15	5277	5831	43	grain_012_clip015.wav
13	16	5831	6260	33	grain_013_clip016.wav
14	17	6260	6597	26	grain_014_clip017.wav
15	18	6597	7149	42	grain_015_clip018.wav
16	19	7149	7585	34	grain_016_clip019.wav
17	20	7585	7928	26	grain_017_clip020.wav
18	21	7928	8474	42	grain_018_clip021.wav
19	22	8474	8911	34	grain_019_clip022.wav
20	23	8911	9244	26	grain_020_clip023.wav
21	24	9244	9772	41	grain_021_clip024.wav
22	25	9772	10223	35	grain_022_clip025.wav
23	26	10223	10542	25	grain_023_clip026.wav
24	27	10542	11081	41	grain_024_clip027.wav
25	28	11081	11512	33	grain_025_clip028.wav
26	29	11512	11837	25	grain_026_clip029.wav
27	30	11837	12377	42	grain_027_clip030.wav
28	31	12377	12806	33	grain_028_clip031.wav
29	32	12806	13129	25	grain_029_clip032.wav
30	33	13129	13669	42	grain_030_clip033.wav
31	34	13669	14101	33	grain_031_clip034.wav
32	35	14101	14422	25	grain_032_clip035.wav
33	36	14422	14950	41	grain_033_clip036.wav
34	37	14950	15370	32	grain_034_clip037.wav
35	38	15370	15687	24	grain_035_clip038.wav
36	39	15687	16216	41	grain_036_clip039.wav
37	40	16216	16642	33	grain_037_clip040.wav
38	41	16642	16972	25	grain_038_clip041.wav
39	67	16972	17272	23	grain_039_clip067.wav
40	68	17272	17612	26	grain_040_clip068.wav
41	69	17612	17920	24	grain_041_clip069.wav
42	70	17920	18263	26	grain_042_clip070.wav
43	71	18263	18542	21	grain_043_clip071.wav
44	73	18542	18980	34	grain_044_clip073.wav
45	74	18980	19314	26	grain_045_clip074.wav
46	75	19314	19876	43	grain_046_clip075.wav
47	76	19876	20688	62	grain_047_clip076.wav
48	77	20688	21035	27	grain_048_clip077.wav
49	78	21035	21036	0	grain_049_clip078.wav
50	79	21036	21373	26	grain_050_clip079.wav
51	80	21373	22049	52	grain_051_clip080.wav
52	81	22049	22473	33	grain_052_clip081.wav
53	82	22473	22773	23	grain_053_clip082.wav
54	83	22773	23304	41	grain_054_clip083.wav
55	85	23304	23703	31	grain_055_clip085.wav
56	86	23703	24253	42	grain_056_clip086.wav
57	87	24253	24682	33	grain_057_clip087.wav
58	88	24682	25105	33	grain_058_clip088.wav
59	89	25105	25533	33	grain_059_clip089.wav
60	90	25533	25831	23	grain_060_clip090.wav
61	91	25831	26168	26	grain_061_clip091.wav
62	92	26168	26793	48	grain_062_clip092.wav
63	93	26793	26952	12	grain_063_clip093.wav
64	94	26952	27318	28	grain_064_clip094.wav
65	95	27318	27803	37	grain_065_clip095.wav
66	96	27803	27913	8	grain_066_clip096.wav
67	97	27913	28242	25	grain_067_clip097.wav
68	98	28242	28568	25	grain_068_clip098.wav
69	99	28568	29227	51	grain_069_clip099.wav
70	100	29227	29616	30	grain_070_clip100.wav
71	101	29616	30071	35	grain_071_clip101.wav
72	102	30071	30358	22	grain_072_clip102.wav
73	103	30358	31006	50	grain_073_clip103.wav
74	104	31006	31477	36	grain_074_clip104.wav
75	105	31477	31678	15	grain_075_clip105.wav
76	106	31678	31928	19	grain_076_clip106.wav
77	107	31928	32437	39	grain_077_clip107.wav
78	108	32437	32438	0	grain_078_clip108.wav
79	109	32438	32776	26	grain_079_clip109.wav
80	110	32776	33221	34	grain_080_clip110.wav
81	111	33221	33777	43	grain_081_clip111.wav
82	112	33777	34235	35	grain_082_clip112.wav
83	113	34235	34697	36	grain_083_clip113.wav
