descriptor_P	bank	clip_start	clip_end	clip_off_start	clip_off_end	anchor_phoneme	note
0	0	0	3	0	1316	i	ear-verified anchor
0	2	67	70	16972	17920		
0	6	173	176	36914	36914		
1	0	3	6	1316	2634	é	ear-verified anchor
1	2	70	73	17920	18542		
1	6	176	179	36914	36914		
2	0	6	9	2634	3953	a	ear-verified anchor
2	2	73	76	18542	19876		
2	6	179	182	36914	36914		
3	0	9	12	3953	5277	o	ear-verified anchor
3	2	76	79	19876	21036		
3	6	182	185	36914	36914		
4	0	12	15	5277	5277	ou	ear-verified anchor
4	2	79	82	21036	22473		
4	6	185	188	36914	36914		
5	0	15	18	5277	6597	u	ear-verified anchor
5	2	82	85	22473	23304		
5	6	188	191	36914	37459		
6	0	18	21	6597	7928	eu	ear-verified anchor
6	2	85	88	23304	24682		
6	6	191	194	37459	37459		
7	0	21	24	7928	9244	in	ear-verified anchor
7	2	88	91	24682	25831		
7	6	194	197	37459	37459		
8	0	24	27	9244	10542	an	ear-verified anchor
8	2	91	94	25831	26952		
8	6	197	200	37459	37459		
9	0	27	30	10542	11837	on	ear-verified anchor
9	2	94	97	26952	27913		
9	6	200	203	37459	37459		
10	0	30	33	11837	13129		
10	2	97	100	27913	29227		
10	6	203	206	37459	37459		
11	0	33	36	13129	14422		
11	2	100	103	29227	30358		
11	6	206	209	37459	37459		
12	0	36	39	14422	15687		
12	2	103	106	30358	31678		
12	6	209	212	37459	37459		
13	0	39	42	15687	16972		
13	2	106	109	31678	32438		
13	6	212	215	37459	38228		
14	0	42	45	16972	16972		
14	2	109	112	32438	33777		
14	6	215	218	38228	38894		
15	0	45	48	16972	16972		
15	2	112	115	33777	34697		
15	6	218	221	38894	40000		
16	0	48	51	16972	16972		
16	2	115	118	34697	34697		
16	6	221	224	40000	41025		
17	0	51	54	16972	16972		
17	2	118	121	34697	34697		
17	6	224	227	41025	41025		
18	0	54	57	16972	16972		
18	2	121	124	34697	34697		
18	6	227	230	41025	41025		
19	0	57	60	16972	16972		
19	2	124	127	34697	34697		
19	6	230	233	41025	41025		
20	0	60	63	16972	16972		
20	2	127	130	34697	34697		
20	6	233	236	41025	41025		
21	0	63	66	16972	16972		
21	2	130	133	34697	34697		
21	6	236	239	41025	41025		
22	0	66	69	16972	17612		
22	2	133	136	34697	34697		
22	6	239	242	41025	41025		
23	0	69	72	17612	18542		
23	2	136	139	34697	35615		
23	6	242	245	41025	41025		
24	0	72	75	18542	19314		
24	2	139	142	35615	35615		
24	6	245	248	41025	41025		
25	0	75	78	19314	21035		
25	2	142	145	35615	35615		
25	6	248	251	41025	41025		
26	0	78	81	21035	22049		
26	2	145	148	35615	36914		
26	6	251	254	41025	41025		
27	0	81	84	22049	23304		
27	2	148	151	36914	36914		
27	6	254	257	41025	41025		
28	0	84	87	23304	24253		
28	2	151	154	36914	36914		
28	6	257	260	41025	41025		
29	0	87	90	24253	25533		
29	2	154	157	36914	36914		
29	6	260	263	41025	41025		
30	0	90	93	25533	26793		
30	2	157	160	36914	36914		
30	6	263	266	41025	41025		
31	0	93	96	26793	27803		
31	2	160	163	36914	36914		
31	6	266	269	41025	41025		
32	0	96	99	27803	28568		
32	2	163	166	36914	36914		
32	6	269	272	41025	41025		
33	0	99	102	28568	30071		
33	2	166	169	36914	36914		
33	6	272	275	41025	41025		
34	0	102	105	30071	31477		
34	2	169	172	36914	36914		
34	6	275	278	41025	41025		
35	0	105	108	31477	32437		
35	2	172	175	36914	36914		
35	6	278	281	41025	41025		
36	0	108	111	32437	33221		
36	2	175	178	36914	36914		
36	6	281	284	41025	41025		
37	0	111	114	33221	34697		
37	2	178	181	36914	36914		
37	6	284	287	41025	41025		
38	0	114	117	34697	34697		
38	2	181	184	36914	36914		
38	6	287	290	41025	41025		
39	0	117	120	34697	34697		
39	2	184	187	36914	36914		
39	6	290	293	41025	41025		
40	0	120	123	34697	34697		
40	2	187	190	36914	37459		
40	6	293	296	41025	42089		
41	0	123	126	34697	34697		
41	2	190	193	37459	37459		
41	6	296	299	42089	42713		
42	0	126	129	34697	34697		
42	2	193	196	37459	37459		
42	6	299	302	42713	43502		
43	0	129	132	34697	34697		
43	2	196	199	37459	37459		
43	6	302	305	43502	43816		
44	0	132	135	34697	34697		
44	2	199	202	37459	37459		
44	6	305	308	43816	44852		
45	0	135	138	34697	35482		
45	2	202	205	37459	37459		
45	6	308	311	44852	46218		
46	0	138	141	35482	35615		
46	2	205	208	37459	37459		
46	6	311	314	46218	46218		
47	0	141	144	35615	35615		
47	2	208	211	37459	37459		
47	6	314	317	46218	47143		
48	0	144	147	35615	36914		
48	2	211	214	37459	38228		
48	6	317	320	47143	48050		
49	0	147	150	36914	36914		
49	2	214	217	38228	38894		
49	6	320	323	48050	48446		
